bms_id,attribute_name,definition,code_list
tradeItemUnitDescriptorCode,,Product Hierarchy Level Code,TradeItemUnitDescriptorCode
additionalTradeItemIdentification/@additionalTradeItemIdentificationTypeCode,,Additional Product Identification Type Code,AdditionalTradeItemIdentificationTypeCode
targetMarketCountryCode,,Country Of Sale Code,Refer to GDD - CountryCode
referencedTradeItemTypeCode,,Referenced GTIN Type Code,ReferencedTradeItemTypeCode
contactTypeCode,,Contact Type Code,ContactTypeCode
communicationChannelCode,,Contact Method Code,CommunicationChannelCode
gpcCategoryCode,,Global Product Category Code,Refer to GPC standard [https://www.gs1.org/standards/gpc]
animalNutrientTypeCode,,Animal Nutrient Code,Refer to GDD - NutrientTypeCode
allergenTypeCode,,Allergen Type Code,Refer to GDD - AllergenTypeCode
levelOfContainmentCode,,Allergen Containment Code,Refer to GDD - LevelOfContainmentCode
feedType,,Pet Food or Animal Feed Type Code,Refer to GDD - FeedTypeCode
targetedConsumptionBy,,Animal Feed Designed For Code,Refer to GDD - TargetedConsumptionByCode
batteryTechnologyTypeCode,,Battery Material Type Code,Refer to GDD - BatteryTechnologyTypeCode
batteryTypeCode,,Battery Size Type Code,Refer to GDD - BatteryTypeCode
catchMethodCode,,Fishing Gear Code,Refer to GDD - CatchMethodCode
productionMethodForFishAndSeaFoodCode,,Fish Production Method Code,Refer to GDD - ProductionMethodForFishAndSeaFoodCode
storageStateCode,,Fish Storage State Code,Refer to GDD - StorageStateCode
dietTypeCode,,Dietary Regime Code,Refer to GDD - DietTypeCode
dutyFeeTaxTypeCode,,Tax Type Code,Refer to local code list
dutyFeeTaxCategoryCode,,Tax Category Code,TaxCategoryCode
geneticallyModifiedDeclarationCode,,Genetically Modified Declaration Code,Refer to GDD - LevelOfContainmentCode
growingMethodCode,,Growing Method Code,Refer to GDD - GrowingMethodCode
numberOfServingsPerPackageMeasurementPrecisionCode,,Servings Per Product Precision Code,Refer to GDD - MeasurementPrecisionCode
preparationTypeCode,,Preparation Type Code,Refer to GDD - PreparationTypeCode
nutritionalClaimNutrientElementCode,,Element Claim Code,Refer to GDD - NutritionalClaimNutrientElementCode
nutritionalClaimTypeCode,,Claim Type Code,Refer to GDD - NutritionalClaimTypeCode
preparationStateCode,,Nutritional Preparation Code,Refer to GDD - PreparationTypeCode
measurementPrecisionCode,,Nutrient Value Precision Code,Refer to GDD - MeasurementPrecisionCode
nutrientTypeCode,,Nutrient Code,Refer to GDD - NutrientTypeCode
dailyValueIntakePercentMeasurementPrecisionCode,,Daily Nutrient Value Percentage Precision Code,Refer to GDD - MeasurementPrecisionCode
packagingFeatureCode,,Package Feature Code,PackagingFeatureCode
platformTypeCode,,Pallet Type Code,PlatformTypeCode
packagingTypeCode,,Packaging Type Code,PackageTypeCode
packagingMaterialTypeCode,,Packaging Material Type Code,PackagingMaterialTypeCode
packagingMarkedLabelAccreditationCode,,Third Party Accreditation Symbol on Product Package Code,Refer to GDD - PackagingMarkedLabelAccreditationCode
tradeItemDateOnPackagingTypeCode,,Packaging Date Type Code,TradeItemDateOnPackagingTypeCode
importClassificationTypeCode,,Customs Classification Type Code,ImportClassificationTypeCode
countryCode,,Country of Origin Code,CountryCode
referencedFileTypeCode,,Digital Asset Type Code,ReferencedFileTypeCode
regulationTypeCode,,Regulation Type Code,RegulationTypeCode
gHSSignalWordsCode,,Signal Words Code,Refer to GDD - GHSSignalWordsCode
gHSSymbolDescriptionCode,,Hazardous Symbol Description Code,Refer to GDD - GHSSymbolDescriptionCode
hazardStatementsCode,,Hazardous Statements Code,Refer to local code list
precautionaryStatementsCode,,Precautionary Statement Code,Refer to local code list
tradeItemFormCode,,Product Shape Code,Refer to GDD - TradeItemFormCode
handlingInstructionsCodeReference,,Product Handling Code,Refer to GDD - HandlingInstructionsCode_GDSN
stackingFactorTypeCode,,Stacking Factor Type Code,StackingFactorTypeCode
dimensionTypeCode,,Additional Dimension Type Code,Refer to GDD - DimensionTypeCode
tradeItemTemperatureConditionTypeCode,,Product Temperature Condition Code,Refer to GDD - TradeItemTemperatureConditionTypeCode
temperatureQualifierCode,,Temperature Activity Code,TemperatureQualifierCode
variableTradeItemTypeCode,,Loose or Pre-Packed Code,Refer to GDD - VariableTradeItemTypeCode
catchAreaCode,,Catch Area Code,Refer to GDD - CatchAreaCode_GDSN
